;repo_name; repo_url; url_commit; message
Popular Struct;react-webpack-rails-tutorial;https://api.github.com/repos/shakacode/react-webpack-rails-tutorial;https://github.com/shakacode/react-webpack-rails-tutorial/commit/28154fde73958e2419aa92de4da5580aa66ff149;"Switch to system specs and headless chrome as default driver (#439)

* switch to system specs and headless chrome as default driver
* remove rspec-retry
* fix comment count intermittent"
;react-webpack-rails-tutorial;https://api.github.com/repos/shakacode/react-webpack-rails-tutorial;https://github.com/shakacode/react-webpack-rails-tutorial/commit/28154fde73958e2419aa92de4da5580aa66ff149;"Switch to system specs and headless chrome as default driver (#439)

* switch to system specs and headless chrome as default driver
* remove rspec-retry
* fix comment count intermittent"
;react-webpack-rails-tutorial;https://api.github.com/repos/shakacode/react-webpack-rails-tutorial;https://github.com/shakacode/react-webpack-rails-tutorial/commit/28154fde73958e2419aa92de4da5580aa66ff149;"Switch to system specs and headless chrome as default driver (#439)

* switch to system specs and headless chrome as default driver
* remove rspec-retry
* fix comment count intermittent"
;aws-cognito-apigw-angular-auth;https://api.github.com/repos/aws-samples/aws-cognito-apigw-angular-auth;https://github.com/aws-samples/aws-cognito-apigw-angular-auth/commit/0f8e1d21ed30005345d138bf033590fe0b91bd42;"Update app.component.ts

Hi, this the fix I did to force the googleCallback to be called in this component and set this.loggedInCreds before the call to testAccess. I don't think the duplicate calls to google (line 95 in here and line 50 in google-signin-component.ts) are required now but I am not sure why they fixed the issue even intermittently so I have left them alone."
;convert-svg;https://api.github.com/repos/neocotic/convert-svg;https://github.com/neocotic/convert-svg/commit/cdf43c06079e498354c4e8299f784dc290a11461;skipped tests that were causing CI build to fail intermittently
Selenium-WebDriver;selenium-rs;https://api.github.com/repos/saresend/selenium-rs;https://github.com/saresend/selenium-rs/commit/77efc713b3980c1ef874c60bcd27f6471360d3f6;fixing warnings and removing flaky tests
;source;https://api.github.com/repos/selenium-webdriver-book/source;https://github.com/selenium-webdriver-book/source/commit/d61795f8c6f82eb2b06d4da1a3ffe729f68433bd;ignored flaky test
;selmon;https://api.github.com/repos/objectified/selmon;https://github.com/objectified/selmon/commit/3faa554e9663a30666a4f63dbd906c37adc4e1a3;pep8 docstrings, pyflakes
;pyderman;https://api.github.com/repos/shadowmoose/pyderman;https://github.com/shadowmoose/pyderman/commit/f871a1744a6764bc6e2c5bc1af7db8fed335dcda;"Set up packaging with setup.cfg and introduce linters (#14)

* add: linting ci

* fix: setup.cfg

* fix: lint with black+isort+flake8

* rm: MANIFEST.in

* fix: lint md with markdownlint

* fix: mypy error

* fix: drop python 3.5 due to end of support in gh actions

* add: typed marker

* fix: resolve conflict

* _

* fix: wrong sectioning in readme

* fix: wrong version path

* fix: isort

* add: pre-commit to make easy to lint"
;gwt-driver;https://api.github.com/repos/niloc132/gwt-driver;https://github.com/niloc132/gwt-driver/commit/8931489f379fb497a395760d200e31fddcae3bcb;"Merge pull request #3 from branflake2267/brandon-readmes2

Adding readmes, contributing and license. Contributing is for when"
;shishito;https://api.github.com/repos/salsita/shishito;https://github.com/salsita/shishito/commit/244129d78fc1785c86cb703cb62d0db4b8aecb3d;"Merge pull request #74 from salsita/appium-capabilities

Fix flaky error with HTML report"
;shishito;https://api.github.com/repos/salsita/shishito;https://github.com/salsita/shishito/commit/bfddc143c3b99863cf08a53221378165b4fd5e64;Fix Flaky & HTML report issue
;fxapom;https://api.github.com/repos/mozilla/fxapom;https://github.com/mozilla/fxapom/commit/b1be040d239ae686fce9753a0d1c05962c8d8d5a;"Bump flake8 from 3.7.7 to 3.7.8 (#372)

Bumps [flake8](https://gitlab.com/pycqa/flake8) from 3.7.7 to 3.7.8.
- [Release notes](https://gitlab.com/pycqa/flake8/tags)
- [Commits](https://gitlab.com/pycqa/flake8/compare/3.7.7...3.7.8)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>"
;wisej-selenium;https://api.github.com/repos/iceteagroup/wisej-selenium;https://github.com/iceteagroup/wisej-selenium/commit/2726bf8b6261512943c6129268e81638991cc7c1;"Solved all timeout issues.
Chrome is OK. Edge has intermittent issue with a specific TextBox. Firefox reports ""too much recursion"" on one place."
;cypress-vs-selenium;https://api.github.com/repos/giltayar/cypress-vs-selenium;https://github.com/giltayar/cypress-vs-selenium/commit/5fa2f22d82fa699c50ed775955ef4d84d3b16550;added flakiness to cypress test
;cypress-vs-selenium;https://api.github.com/repos/giltayar/cypress-vs-selenium;https://github.com/giltayar/cypress-vs-selenium/commit/af5b0008be48ab629702e8586d0c49fcc490ea43;added flaky handling in selenium
;AppiumSauce;https://api.github.com/repos/Simon-Kaz/AppiumSauce;https://github.com/Simon-Kaz/AppiumSauce/commit/08135185e77af7ef28ec488e050e247b8c8c5904;"added explicit waits to deal with intermittency

added explicit waits to deal with intermittency of the test suite"
;flaky-ruby-tests;https://api.github.com/repos/CircleCI-Archived/flaky-ruby-tests;https://github.com/CircleCI-Archived/flaky-ruby-tests/commit/3eca3f4e397352961d32f69d45b9e964d917bc03;Initial example of a flaky test
;selenium-webdriver-wsgi;https://api.github.com/repos/freyes/selenium-webdriver-wsgi;https://github.com/freyes/selenium-webdriver-wsgi/commit/194c1e928c98e13f8761432ed3e85cdc75817192;"Added method fill_form()

Also minor pep8/pyflakes fixes"
;selenium-webdrivers-pool;https://api.github.com/repos/d1ffuz0r/selenium-webdrivers-pool;https://github.com/d1ffuz0r/selenium-webdrivers-pool/commit/e3322004bc699f7cacaa3dfea66ec5e54976a36d;pyflakes, pep8
;qacode;https://api.github.com/repos/netzulo/qacode;https://github.com/netzulo/qacode/commit/52a12133db2f8fafb554dbd141838cf0a6967aa6;"[qacode] fix for issue #279, for master branch (#311)

* [qacode] fix for issue #279, for master branch

* [qacode] fixes for flake"
;qacode;https://api.github.com/repos/netzulo/qacode;https://github.com/netzulo/qacode/commit/a1ff568289294a192a3aebceb6f56fa23cd9da0d;"[qacode] fix for issue #305 (#306)

* [qacode] fix for issue #305

* [qacode] fix flake

* [qacode] fix docs env for tox

* [qacode] fix CIs

* [qacode] fix appveyor

* [qacode] appveyor, please... i need you

* [qacode] windows, i hate you, sometimes"
;qacode;https://api.github.com/repos/netzulo/qacode;https://github.com/netzulo/qacode/commit/7c6a45acf9d12134080957e8df0593fa0c6b10c6;[qacode] fix flake errors at #289
;qacode;https://api.github.com/repos/netzulo/qacode;https://github.com/netzulo/qacode/commit/3d099aeb19c1f2ca73d46c8a064e9d0f69dc7d03;"[qacode] fix for issue #287 (#288)

* [qacode] fix for issue #287

* [qacode] minimal fixes for some dependency rareerr

* [qacode] remove iexplorer from ci

* [qacode] update settings for new CI

* [qacode] fix for flake8 dependency

+ ""flake8-docstrings"" failed during execution due to ""module 'pydocstyle'
    has no attribute 'tokenize_open'"""
;selenium;https://api.github.com/repos/isaksky/selenium;https://github.com/isaksky/selenium/commit/963f64c2a96b627c59e4b33ca0af4c61c093f6de;"Safari is flaky. Reducing timeout to fail faster when we're going to fail.
When it starts successfully, it always does in 4 seconds on some modest machines."
Robot;dingdang-robot;https://api.github.com/repos/wzpan/dingdang-robot;https://github.com/wzpan/dingdang-robot/commit/8585c578dd2352b4d1a932b041daa8ea544a5e4f;"树莓派2代B+版本Centos7 Userland系统PulseAudio支持及内置声卡、音量配置 (#131)

* 1. 添加PulseAudio支持（树莓派2代B+版本Centos7 Userland系统测试通过），支持通过配置文件设置音量（通过Python 2.7 pip官方版本：pulsectl==18.3.1）。
2. 升级Pocketsphinx Python bindings支持（Python 2.7 pip官方版本：pocketsphinx==0.1.3）
3. 声卡配置文件例子：demo_sound_card_conf.yml，请修改后追加到默认配置文件 /home/pi/.dingdang/profile.yml 末尾。

* 补充pocketsphinx及pulsectl的pip安装引用

* travisCI 添加swig编译支持

* travisCI 添加pulseaudio编译支持

* 根据flake8反馈修改代码格式

* 根据flake8反馈修改代码格式

* autopep8 自动修正排版问题

* 修正排版问题"
;dingdang-robot;https://api.github.com/repos/wzpan/dingdang-robot;https://github.com/wzpan/dingdang-robot/commit/82e102c1a78599e7eaa8a45700a3eb5620b4fc9e;"唤醒后家庭助手支持一句话命令 (#110)

* 去除无用代码：获取设备friendly name

* removed the unformated comments

* 1. added static speech cache feature.  2. applied speech cache for Hass.py

* adjust the code to met flake8 check

* flake8 format...

* flake8 killing me...

* added cache parameter

* replace AM/PM to ""上午""/""下午""

* change the paasive listen to read voice from memory instead of temp file

* Flake8

* excute the hass command with single sentence"
;dingdang-robot;https://api.github.com/repos/wzpan/dingdang-robot;https://github.com/wzpan/dingdang-robot/commit/4073b85de68021d9ff17bcd9e9ec24edc4d2737a;"解决长时间运行无法唤醒问题 (#108)

* 去除无用代码：获取设备friendly name

* removed the unformated comments

* 1. added static speech cache feature.  2. applied speech cache for Hass.py

* adjust the code to met flake8 check

* flake8 format...

* flake8 killing me...

* added cache parameter

* replace AM/PM to ""上午""/""下午""

* change the paasive listen to read voice from memory instead of temp file

* Flake8"
;dingdang-robot;https://api.github.com/repos/wzpan/dingdang-robot;https://github.com/wzpan/dingdang-robot/commit/284b056decf64db07ba3360fcfbc594ca3869f58;"minor changes (#102)

* 去除无用代码：获取设备friendly name

* removed the unformated comments

* 1. added static speech cache feature.  2. applied speech cache for Hass.py

* adjust the code to met flake8 check

* flake8 format...

* flake8 killing me...

* added cache parameter

* replace AM/PM to ""上午""/""下午"""
;dingdang-robot;https://api.github.com/repos/wzpan/dingdang-robot;https://github.com/wzpan/dingdang-robot/commit/29a2dcd077c1be0667a7d5203854fedc62eed07d;"minor change: added cache parameter for say method (#101)

* 去除无用代码：获取设备friendly name

* removed the unformated comments

* 1. added static speech cache feature.  2. applied speech cache for Hass.py

* adjust the code to met flake8 check

* flake8 format...

* flake8 killing me...

* added cache parameter"
;dingdang-robot;https://api.github.com/repos/wzpan/dingdang-robot;https://github.com/wzpan/dingdang-robot/commit/16694ae9326b7563efc575c673ebd5874f452f06;"Test on Python 3.6 in allow_failures mode (#93)

* Test on Python 3.6 in allow_failures mode

Python 2 reaches its end of lift in two years... https://pythonclock.org

* flake8  --show-source for more context

* In the right place ;-)

* Update .travis.yml"
;dingdang-robot;https://api.github.com/repos/wzpan/dingdang-robot;https://github.com/wzpan/dingdang-robot/commit/c128123532a45141c6545c741aa81760d7d058d1;flakes8 格式修正
;dingdang-robot;https://api.github.com/repos/wzpan/dingdang-robot;https://github.com/wzpan/dingdang-robot/commit/b2a41033dcb28805df433b4abecf49ab3937fa37;flakes8 格式修正
;pytrader;https://api.github.com/repos/owocki/pytrader;https://github.com/owocki/pytrader/commit/dbd6402910e4568db7d4fa2a6f35850594a8fef3;flake8
;robot-surgery-segmentation;https://api.github.com/repos/ternaus/robot-surgery-segmentation;https://github.com/ternaus/robot-surgery-segmentation/commit/86c7a80c567896d45401c5700a6ba8461941b7de;"Added travis (#16)

* Added travis

* Added flake8

* bugfix travis

* Fixed flake8 errors

* Python2 flake8 fixes

* Disabled python2 support

* fix in travis before_script => script"
;hexapod-robot-simulator;https://api.github.com/repos/mithi/hexapod-robot-simulator;https://github.com/mithi/hexapod-robot-simulator/commit/c0d41719c385e04c4cd6b264d202ea76b3639b4e;fix: flake8 codestyle error
;hexapod-robot-simulator;https://api.github.com/repos/mithi/hexapod-robot-simulator;https://github.com/mithi/hexapod-robot-simulator/commit/41dc3ddea777f629de7684e6a01d3bc27da95115;chore: !! Add flake8 for checking code style
;moveit;https://api.github.com/repos/ros-planning/moveit;https://github.com/ros-planning/moveit/commit/85c88a28c3c039252e3455e24acb472862da9441;Fix flaky constraint sampler test (#3135)
;robotframework-pageobjectlibrary;https://api.github.com/repos/boakley/robotframework-pageobjectlibrary;https://github.com/boakley/robotframework-pageobjectlibrary/commit/b45c4e903fcaab852ed5b08d64a1b5876785c67d;Changed demo to use SeleniumLibrary, minor changes to make files flake8 compliant
;robotframework-pageobjectlibrary;https://api.github.com/repos/boakley/robotframework-pageobjectlibrary;https://github.com/boakley/robotframework-pageobjectlibrary/commit/603e563c1e27b538aa8cc15257578bae0df23250;Initial changes to work on python 3 and cleaning up flake8 errors
;SocialRobot;https://api.github.com/repos/HorizonRobotics/SocialRobot;https://github.com/HorizonRobotics/SocialRobot/commit/d8daff98406cd2b00045135ca76c67f95f6aab6e;"Add CI test using Github Actions and adding missing textures (#103)

* Create python_test.yml

* address comments;

* fix typo

* enable lint with flake8

*  run all testes by unit test discover

* fix unittest discover; add pre-commit code style checking

* add clangformat

* remove clang-format because it make gazebo installing fails

* test for code style checking

* clang-format after gazebo installing

* fix clang-format version

* fix clang-format problem

* fix missing textures by adding the original models"
;robotframework-extendedselenium2library;https://api.github.com/repos/rickypc/robotframework-extendedselenium2library;https://github.com/rickypc/robotframework-extendedselenium2library/commit/84b7f6830fe8f1dbac1dc740166c27a06fcce12f;Adds ignore to bare except warning from flake8.
;example-robot-data;https://api.github.com/repos/Gepetto/example-robot-data;https://github.com/Gepetto/example-robot-data/commit/d27092f3d16c077b70216e47635d1d29247a5dde;"update tooling

- add pre-commit and its CI
- switch to black
- configure flake8 & isort for black
- add badges"
Cypress;cypress;https://api.github.com/repos/cypress-io/cypress;https://github.com/cypress-io/cypress/commit/599e0c859a9eb6fcf384f3e832f78e7014c86987;"fix(sessions): refactor flows, fix grouping bugs and align validation fail text (#21379)

* chore(sessions): break out sessions manager code

* manager manages registered sessions

* some unit tests

* add more tests and some slight clean up

* .

* fix run mode issue.

* bind correctly for spies

* remove types. not sure on the return values.

* fix tests

* check in dump

* add some command tests

* more driver tests and fix session config error

* Fix parsing error argument

* test for failed validation error messges

* wait for diff pr

* update ui tests

* add more ui tests

* align with 10.0 test setup

* clean up

* will add later

* fix

* fix tests

* baseline for session flow tests

* test for logs...lots here....

* update log attrs to be able to collect session logs for tests

* refactor flows, fix grouping bugs and align validation fail text

* update UI test these changes fixed.

* fix test failures observed in run mode

* reduce flake in log updates"
;cypress-real-events;https://api.github.com/repos/dmtrKovalenko/cypress-real-events;https://github.com/dmtrKovalenko/cypress-real-events/commit/2282480708dbf42f5899ffba1288e1c6364d0ea2;Skip flaky test
;cypress-real-events;https://api.github.com/repos/dmtrKovalenko/cypress-real-events;https://github.com/dmtrKovalenko/cypress-real-events/commit/6272601008b2be12613668962eb5a82d73505e76;chore(CI): Remove google.com tests to reduce flakieness
;redcap_cypress;https://api.github.com/repos/aldefouw/redcap_cypress;https://github.com/aldefouw/redcap_cypress/commit/d5b09923268383fac8548a9467c64c449e74ab2e;"Update the manage project test

It's a bit flakey for some reason.  This seems to fix that."
;pyleniumio;https://api.github.com/repos/ElSnoMan/pyleniumio;https://github.com/ElSnoMan/pyleniumio/commit/8c85e35984a28a574d5d7ca69e6e008df2128708;"upgrade selenium to the newly released version 4! (#221)

* upgrade selenium to the newly released version 4!

* Set flake8 version to 4.0.1

* Add custom expected condition for switching to frames

* Remove deckshop.pro as example app since it's volatile

* Use Selenoid GitHub Action v2

Co-authored-by: Carlos Kidman <carlos@qap.dev>"
;pyleniumio;https://api.github.com/repos/ElSnoMan/pyleniumio;https://github.com/ElSnoMan/pyleniumio/commit/6e9c0992c643375910a5d405ff7d336d504b566c;"Merge pull request #198 from chingc/main

Fix #130: Test Results directory in setup fails intermittently"
;pyleniumio;https://api.github.com/repos/ElSnoMan/pyleniumio;https://github.com/ElSnoMan/pyleniumio/commit/f00d5ef5ddfc8aa3fb7cd9eee647cb26fcfdc581;Fix #130: Test Results directory in setup fails intermittently
;e2e-testsuite-platform;https://api.github.com/repos/shopware/e2e-testsuite-platform;https://github.com/shopware/e2e-testsuite-platform/commit/b28cc2cf7f46b40c0a631a817e1f44a3912d0c84;"Merge pull request #192 from shopware/next-19406/fix-some-e2e-commands

NEXT-19406 - fix e2e login flakiness"
;e2e-testsuite-platform;https://api.github.com/repos/shopware/e2e-testsuite-platform;https://github.com/shopware/e2e-testsuite-platform/commit/125f0ab5f16a26d44e58bc5253edd75ee656be4a;NEXT-19406 - fix e2e login flakiness
;cypress-vs-selenium;https://api.github.com/repos/giltayar/cypress-vs-selenium;https://github.com/giltayar/cypress-vs-selenium/commit/5fa2f22d82fa699c50ed775955ef4d84d3b16550;added flakiness to cypress test
;cypress-vs-selenium;https://api.github.com/repos/giltayar/cypress-vs-selenium;https://github.com/giltayar/cypress-vs-selenium/commit/af5b0008be48ab629702e8586d0c49fcc490ea43;added flaky handling in selenium
;quasar-cypress-example;https://api.github.com/repos/W3AS/quasar-cypress-example;https://github.com/W3AS/quasar-cypress-example/commit/ff1fcb6857bf6ac583bf5daade053da6c563c433;:snowflake: Nova implementação do teste
;cypress;https://api.github.com/repos/mariaro/cypress;https://github.com/mariaro/cypress/commit/11d202194873afa22b4b37600212f4a8fbe6f0fa;"Merge pull request #129 from projectcypress/fix_intermittent_failures

Fixes intermittent test suite failures, mainly on Travis CI"
;cypress;https://api.github.com/repos/mariaro/cypress;https://github.com/mariaro/cypress/commit/beecd45e295ba9ef7220630a0c3220164ab97aad;"Fixes intermittent test suite failures, mainly on Travis CI

The test suite will intermittently fail on Travis, but this can be
replicated locally. The ProductTestHelperTest depends on the measures
collection being populated. Depending on test execution order or
previous state of a developer's database, the collection may or may
not be populated.

To ensure this test fails, drop the cypress_test database and run:
bundle exec rake test TEST=test/unit/helpers/product_test_helper_test.rb

Since Travis always starts with a clean database, it is much more
likely to see the test fail there.

This change ensures that the measure collection will be populated
before the test is run."
;react;https://api.github.com/repos/facebook/react;https://github.com/facebook/react/commit/4c03bb6ed01a448185d9a1554229208a9480560d;"[DevTools] ignore tests without reactVersion pragma if REACT_VERSION specified (#24555)

In DevTools tests, if the REACT_VERSION specified, we know this is a regression test (testing older React Versions). Because a lot of tests test the DevTools front end and we don't want to run them in the regression test scenario, we decided to only run tests that have the // @reactVersion pragma defined.

Because if there are no tests specified, jest will fail, we also opt to use jest.skip to skip all the tests that we don't want to run for a specific React version istead.

This PR makes this change."
;react;https://api.github.com/repos/facebook/react;https://github.com/facebook/react/commit/0ecb77d4c54664e20abd89df0d19ef4e4594f4c8;"[DevTools] Fix formatWithStyles not styling the results if the first argument is an object + Added unit tests (#24554)

formatWithStyles currently doesn't style the array argument if the first argument is an object. This PR fixes this and also adds unit tests."
;react;https://api.github.com/repos/facebook/react;https://github.com/facebook/react/commit/7d9e17a9826595dacbf9e19e8f85b07837adf276;"[DevTools] Add Pragma to Only Run Tests if Version Requirement Satisfied (#24533)

This PR:

Adds a transform-react-version-pragma that transforms // @reactVersion SEMVER_VERSION into _test_react_version(...) and _test_react_version_focus(...) that lets us only run a test if it satisfies the right react version.
Adds _test_react_version and _test_react_version_focus to the devtools setupEnv file
Add a devtools preprocessor file for devtools specific plugins"
;react;https://api.github.com/repos/facebook/react;https://github.com/facebook/react/commit/8197c73ec334e4430d892cead14aa371f13467a9;"Support document rendering (#24523)

* Support Document as a container for hydration and rendering

Previously Document was not handled effectively as a container. in particual when hydrating if there was a fallback to client rendering React would attempt to append a new <html> element into the document before clearing out the existing one which errored leaving the application in brokent state.

The initial approach I took was to recycle the documentElement and never remove or append it, always just moving it to the right fiber and appending the right children (heady/body) as needed. However in testing a simple approach in modern browsers it seems like treating the documentElement like any other element works fine. This change modifies the clearContainer method to remove the documentElement if the container is a DOCUMENT_NODE. Once the container is cleared React can append a new documentElement via normal means.

* Allow Document as container for createRoot

previously rendering into Document was broken and only hydration worked because React did not properly deal with the documentElement and would error in a broken state if used that way. With the previous commit addressing this limitation this change re-adds Document as a valid container for createRoot.

It should be noted that if you use document with createRoot it will drop anything a 3rd party scripts adds the page before rendering for the first time."
;react;https://api.github.com/repos/facebook/react;https://github.com/facebook/react/commit/e531a4a62d0b88301ac06d4efd3f5a30faa03c94;"[React DevTools] Improve DevTools UI when Inspecting a user Component that Throws an Error  (#24248)

* [ReactDevTools] custom view for errors occur in user's code

* [ReactDevTools] show message for unsupported feature

* fix bad import

* fix typo

* fix issues from rebasing

* prettier

* sync error names

* sync error name with upstream

* fix lint & better comment

* fix error message for test

* better error message per review

* add missing file

* remove dead enum & provide component name in error message

* better error message

* better user facing error message"
;react;https://api.github.com/repos/facebook/react;https://github.com/facebook/react/commit/6cbf0f7fac772c3fd18706d73af00f3fd06a55b5;"Fork ReactSymbols (#24484)

* Fork ReactSymbols

* Fix tests

* Update jest config"
;react;https://api.github.com/repos/facebook/react;https://github.com/facebook/react/commit/a10a9a6b5b891dd3ce238bf39a6147bb0f3a1d2a;Add test for hiding children after layout destroy (#24483)
;react;https://api.github.com/repos/typescript-cheatsheets/react;https://github.com/typescript-cheatsheets/react/commit/bb4190fd95d03630af3f13323c8121ca7a87a0d2;"Merge pull request #502 from typescript-cheatsheets/version

Assume latest React version"
;react;https://api.github.com/repos/typescript-cheatsheets/react;https://github.com/typescript-cheatsheets/react/commit/b36c18e48f82d595307033c62de7498d6b5986dd;Assume latest React version
;react;https://api.github.com/repos/duxianwei520/react;https://github.com/duxianwei520/react/commit/6587935e9538c283820e6c56f2609036e1851852;test
;react;https://api.github.com/repos/react-redux-antd-es6/react;https://github.com/react-redux-antd-es6/react/commit/ba2af1aad6e50930f4943e3033b7b673359bab23;test
;react;https://api.github.com/repos/react-redux-antd-es6/react;https://github.com/react-redux-antd-es6/react/commit/261dea36562c60e46502c738b17dfc4ab0ea97b0;test
;React;https://api.github.com/repos/HackYourFuture/React;https://github.com/HackYourFuture/React/commit/4a576bd4526ee446ac7607b68707f6ed56f88527;"Merge pull request #674 from HackYourFuture/dependabot/npm_and_yarn/week3/test-exercises/node-forge-1.3.1

Bump node-forge from 1.2.1 to 1.3.1 in /week3/test-exercises"
;React;https://api.github.com/repos/HackYourFuture/React;https://github.com/HackYourFuture/React/commit/b40daf68b540962a0f34240ac63381c32a66011e;"Bump node-forge from 1.2.1 to 1.3.1 in /week3/test-exercises

Bumps [node-forge](https://github.com/digitalbazaar/forge) from 1.2.1 to 1.3.1.
- [Release notes](https://github.com/digitalbazaar/forge/releases)
- [Changelog](https://github.com/digitalbazaar/forge/blob/main/CHANGELOG.md)
- [Commits](https://github.com/digitalbazaar/forge/compare/v1.2.1...v1.3.1)

---
updated-dependencies:
- dependency-name: node-forge
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>"
;React;https://api.github.com/repos/HackYourFuture/React;https://github.com/HackYourFuture/React/commit/e85694486fd99d968bbe8502c216092e2d800142;"Merge pull request #673 from HackYourFuture/dependabot/npm_and_yarn/week3/test-exercises/minimist-1.2.6

Bump minimist from 1.2.5 to 1.2.6 in /week3/test-exercises"
;React;https://api.github.com/repos/HackYourFuture/React;https://github.com/HackYourFuture/React/commit/b679adce0238f3e831d54e7f6f4a37588a84ece5;"Merge pull request #671 from HackYourFuture/rework-testing

Rework testing"
;React;https://api.github.com/repos/HackYourFuture/React;https://github.com/HackYourFuture/React/commit/c6c01a2912e32ca21a9d549521b02e2c05960e6e;"Bump minimist from 1.2.5 to 1.2.6 in /week3/test-exercises

Bumps [minimist](https://github.com/substack/minimist) from 1.2.5 to 1.2.6.
- [Release notes](https://github.com/substack/minimist/releases)
- [Commits](https://github.com/substack/minimist/compare/1.2.5...1.2.6)

---
updated-dependencies:
- dependency-name: minimist
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>"
;React;https://api.github.com/repos/HackYourFuture/React;https://github.com/HackYourFuture/React/commit/ade12af37a1a2decc87bd416973d1d0a58c89123;Moved around the test exercises and started with the cypress exercise
;React;https://api.github.com/repos/HackYourFuture/React;https://github.com/HackYourFuture/React/commit/54509774cd05207bba96edcb826846799f8caa5d;"Update README.md

Moved testing to bonus"
;React;https://api.github.com/repos/HackYourFuture/React;https://github.com/HackYourFuture/React/commit/1a0a515b7e0c4c5b1b18e9713af7e6ceb97bf595;"Update 3-useListState.test.js

Remove final test code"
;React;https://api.github.com/repos/HackYourFuture/React;https://github.com/HackYourFuture/React/commit/c14e1964c99495bc0364a04b8866f210a1a6b762;"Merge pull request #663 from HackYourFuture/dependabot/npm_and_yarn/week2/test-exercises/follow-redirects-1.14.8

Bump follow-redirects from 1.14.7 to 1.14.8 in /week2/test-exercises"
;React;https://api.github.com/repos/HackYourFuture/React;https://github.com/HackYourFuture/React/commit/479359d2961c49e0e19151e78c1e533630926022;"Merge pull request #664 from HackYourFuture/dependabot/npm_and_yarn/week3/test-exercises/follow-redirects-1.14.8

Bump follow-redirects from 1.14.7 to 1.14.8 in /week3/test-exercises"
;React;https://api.github.com/repos/HackYourFuture/React;https://github.com/HackYourFuture/React/commit/800f003c7dda4183be49451a116c893a129bd9ca;"Bump follow-redirects from 1.14.7 to 1.14.8 in /week3/test-exercises

Bumps [follow-redirects](https://github.com/follow-redirects/follow-redirects) from 1.14.7 to 1.14.8.
- [Release notes](https://github.com/follow-redirects/follow-redirects/releases)
- [Commits](https://github.com/follow-redirects/follow-redirects/compare/v1.14.7...v1.14.8)

---
updated-dependencies:
- dependency-name: follow-redirects
  dependency-type: indirect
...

Signed-off-by: dependabot[bot] <support@github.com>"
